repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
TinyMUSH/TinyMUSH	149	149	690	0	17	11.4	9	VIOLATION_KEPT
bmwiedemann/openSUSE							2149	TOO_BIG
kraj/glibc							242	TOO_BIG
guillemj/dpkg	272	272	1372	0	2	0.7	30	VIOLATION_KEPT
maurymarkowitz/OpenNEC	50	50	129	0	1	2.0	30	VIOLATION_KEPT
UBCFormulaElectric/Consolidated-Firmware	1387	1397	2037	0	22	1.6	35	VIOLATION_KEPT
SWI-Prolog/packages-xpce	21	22	0	0	0	0.0	0	CLEAN
patchew-project/qemu							758	TOO_BIG
WeblateOrg/siphashc	3	3	3	0	0	0.0	0	CLEAN
zephyrproject-rtos/hal_nxp							400	TOO_BIG
Intersec/lib-common	11	11	1	0	0	0.0	0	CLEAN
olafhering/grub	1416	1426	7455	4	60	4.2	27	VIOLATION_KEPT
openbgpd-portable/openbgpd-openbsd	226	226	198	0	12	5.3	8	VIOLATION_KEPT
xfce-mirror/xfce4-settings	87	87	110	0	6	6.9	10	VIOLATION_KEPT
intechstudio/grid-fw							928	TOO_BIG
GNOME/evolution-data-server	893	893	2289	1	71	8.0	33	VIOLATION_KEPT
sbates130272/linux-p2pmem							3237	TOO_BIG
zephyrproject-rtos/trusted-firmware-m	3475	3475	8023	9	966	27.8	157	VIOLATION_KEPT
Linux-Comedi/comedi	266	266	588	0	21	7.9	9	VIOLATION_KEPT
thoni56/c-xrefactory	232	233	934	0	1	0.4	43	VIOLATION_KEPT
jpirko/linux_mlxsw							3123	TOO_BIG
nbd168/wireless							2833	TOO_BIG
smfrench/smb3-kernel							3626	TOO_BIG
greearb/hostap-ct	778	778	4038	0	69	8.9	30	VIOLATION_KEPT
coreboot/depthcharge	1166	1166	3737	0	22	1.9	13	VIOLATION_KEPT
arttttt/SmokeR24.1-kernel							810	TOO_BIG
cx20/hello	482	482	15	0	84	17.4	31	VIOLATION_KEPT
autotools-mirror/gettext	502	502	1518	0	16	3.2	38	VIOLATION_KEPT
pop-os/linux-firmware							1435	TOO_BIG
aryx/xix	417	417	832	0	21	5.0	11	VIOLATION_KEPT
git-for-windows/msys2-runtime	3699	3701	5742	1	52	1.4	71	VIOLATION_KEPT
LineageOS/android_kernel_xiaomi_msm8937							2065	TOO_BIG
zephyrproject-rtos/mbedtls	121	121	311	0	12	9.9	17	VIOLATION_KEPT
llnl/Silo	171	171	592	0	3	1.8	109	VIOLATION_KEPT
xfce-mirror/libxfce4ui	80	80	92	0	5	6.2	5	VIOLATION_KEPT
postgresql-cfbot/postgresql							593	TOO_BIG
sjp38/linux							2951	TOO_BIG
xfce-mirror/xfce4-power-manager	78	78	202	0	6	7.7	4	VIOLATION_KEPT
m-ab-s/aom	851	851	3221	2	102	12.0	47	VIOLATION_KEPT
AdaCore/qemu							442	TOO_BIG
NovaRain/Fallout2_Unofficial_Patch							1559	TOO_BIG
michaelpq/postgres							434	TOO_BIG
nvt/veloxvm	1	1	0	0	0	0.0	0	CLEAN
qemu/ipxe	1806	1835	6194	2	27	1.5	33	VIOLATION_KEPT
openSUSE/systemd							273	TOO_BIG
zephyrproject-rtos/zephyr-testing							781	TOO_BIG
Starlink/ast	591	591	2064	2	18	3.0	31	VIOLATION_KEPT
LineageOS/android_kernel_sony_sdm660							1794	TOO_BIG
foss-for-synopsys-dwc-arc-processors/binutils-gdb							659	TOO_BIG
maurossi/mesa							622	TOO_BIG
xfce-mirror/xfce4-notifyd	28	28	48	0	1	3.6	3	VIOLATION_KEPT
dcasota/photonos-scripts							208	TOO_BIG
kraj/binutils-gdb							704	TOO_BIG
aallamaa/alcove	49	49	37	0	3	6.1	8	VIOLATION_KEPT
haaspors/rlib	308	308	1175	0	22	7.1	10	VIOLATION_KEPT
hdeller/qemu-hppa							424	TOO_BIG
andoma/mios	716	715	2701	0	11	1.5	7	VIOLATION_KEPT
pexip/gstreamer							309	TOO_BIG
alistair23/qemu							470	TOO_BIG
spandruvada/linux-kernel							2963	TOO_BIG
MIPS/glibc							276	TOO_BIG
MIPS/binutils-gdb							589	TOO_BIG
ender672/liboil	25	25	42	0	13	52.0	2	VIOLATION_KEPT
tadryanom/AdrOS	461	461	827	0	5	1.1	6	VIOLATION_KEPT
Pernosco/binutils-gdb							537	TOO_BIG
TrenchBoot/linux							2781	TOO_BIG
bsdjhb/gdb							543	TOO_BIG
AlexanderTaeschner/gnuplot	227	227	999	0	6	2.6	12	VIOLATION_KEPT
ilia-maslakov/mcdev	403	403	1897	1	23	5.7	21	VIOLATION_KEPT
RTEMS/sourceware-mirror-binutils-gdb							570	TOO_BIG
DrylandEcology/SOILWAT2	64	64	372	0	1	1.6	8	VIOLATION_KEPT
djmdjm/openbsd-openssh-src	106	106	290	0	5	4.7	7	VIOLATION_KEPT
ahjragaas/glibc							266	TOO_BIG
Haldir65/AndroidRepo							227	TOO_BIG
djmdjm/openssh-wip	106	106	290	0	5	4.7	7	VIOLATION_KEPT
woodsts/linux-stable							3923	TOO_BIG
foss-for-synopsys-dwc-arc-processors/newlib	3752	3754	5854	1	53	1.4	71	VIOLATION_KEPT
joergroedel/linux-iommu							3031	TOO_BIG
jeffmerkey/leaf-linux							3226	TOO_BIG
centurysys/linux-kernel-MAE							3150	TOO_BIG
PKRoma/linux							3368	TOO_BIG
RTEMS/sourceware-mirror-newlib-cygwin	3773	3775	5866	1	53	1.4	71	VIOLATION_KEPT
rodrigovivi/linux							2835	TOO_BIG
MIPS/newlib	3773	3775	5866	1	53	1.4	71	VIOLATION_KEPT
FireBurn/mesa							644	TOO_BIG
vathpela/edk2							301	TOO_BIG
llr-cta/calin	1029	1029	1408	1	82	8.0	56	VIOLATION_KEPT
jeffmerkey/linux							3255	TOO_BIG
simonsj/haproxy	619	619	3626	3	50	8.1	29	VIOLATION_KEPT
stefanberger/libvirt-tpm							618	TOO_BIG
pjungwir/postgresql							339	TOO_BIG
T-J-Teru/binutils-gdb							555	TOO_BIG
simark/binutils-gdb							566	TOO_BIG
berrym/lush	391	391	1212	0	16	4.1	49	VIOLATION_KEPT
kubernetes-sigs/security-profiles-operator	5	5	1	0	0	0.0	0	CLEAN
rxrbln/t2sde	92	92	271	0	5	5.4	87	VIOLATION_KEPT
HDFGroup/hdf5							802	TOO_BIG
libsdl-org/SDL_mixer	203	203	90	0	5	2.5	17	VIOLATION_KEPT
