scanned 618 files, 1688 fragments, 29584 candidate pairs
  engine/prefabs/irreden/render/widget_draw.hpp:64-71  <->  engine/prefabs/irreden/render/widget_draw.hpp:82-87  (STRUCTURAL, weighted=0.707581, line=0.555556)
  engine/script/include/irreden/script/lua_script.hpp:365-383  <->  engine/script/include/irreden/script/lua_script.hpp:445-469  (STRUCTURAL, weighted=0.706611, line=0.571429)
  engine/script/include/irreden/script/lua_script.hpp:559-589  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.702137, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:518-546  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.69905, line=0.65)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.695762, line=0.631579)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.692252, line=0.611111)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:559-589  (STRUCTURAL, weighted=0.688498, line=0.588235)
  engine/script/include/irreden/script/lua_script.hpp:388-408  <->  engine/script/include/irreden/script/lua_script.hpp:518-546  (STRUCTURAL, weighted=0.684472, line=0.5625)
  engine/prefabs/irreden/common/modifier.hpp:528-542  <->  engine/prefabs/irreden/common/modifier.hpp:580-598  (STRUCTURAL, weighted=0.681656, line=0.666667)
  engine/prefabs/irreden/common/modifier.hpp:503-517  <->  engine/prefabs/irreden/common/modifier.hpp:552-570  (STRUCTURAL, weighted=0.681656, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:365-383  <->  engine/script/include/irreden/script/lua_script.hpp:480-506  (STRUCTURAL, weighted=0.680145, line=0.533333)
  engine/script/include/irreden/script/lua_script.hpp:518-546  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.677672, line=0.619048)
  engine/prefabs/irreden/common/modifier.hpp:126-145  <->  engine/prefabs/irreden/common/modifier.hpp:331-354  (STRUCTURAL, weighted=0.673877, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.673813, line=0.6)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.669702, line=0.578947)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.665315, line=0.555556)
  engine/prefabs/irreden/common/components/component_modifiers.hpp:233-257  <->  engine/prefabs/irreden/common/components/component_modifiers.hpp:265-287  (STRUCTURAL, weighted=0.664341, line=0.7)
  engine/prefabs/irreden/voxel/components/component_voxel_set.hpp:110-133  <->  engine/prefabs/irreden/voxel/components/component_voxel_set.hpp:222-242  (STRUCTURAL, weighted=0.661486, line=0.791667)
  engine/script/include/irreden/script/lua_script.hpp:388-408  <->  engine/script/include/irreden/script/lua_script.hpp:559-589  (STRUCTURAL, weighted=0.660622, line=0.529412)
  engine/script/include/irreden/script/lua_script.hpp:365-383  <->  engine/script/include/irreden/script/lua_script.hpp:518-546  (STRUCTURAL, weighted=0.65559, line=0.5)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.653206, line=0.571429)
  creations/demos/default/main.cpp:50-74  <->  creations/editors/font_maker/main.cpp:56-77  (STRUCTURAL, weighted=0.65242, line=0.681818)
  engine/script/include/irreden/script/lua_modifier_bindings.hpp:229-242  <->  engine/script/include/irreden/script/lua_modifier_bindings.hpp:262-275  (STRUCTURAL, weighted=0.648782, line=0.647059)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.648575, line=0.55)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.643643, line=0.526316)
  engine/script/include/irreden/script/lua_modifier_bindings.hpp:246-258  <->  engine/script/include/irreden/script/lua_modifier_bindings.hpp:279-291  (STRUCTURAL, weighted=0.64241, line=0.625)
  engine/script/include/irreden/script/lua_script.hpp:388-408  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.638378, line=0.5)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.628741, line=0.52381)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.623338, line=0.5)
  engine/profile/include/irreden/profile/ir_profile.tpp:59-65  <->  engine/profile/include/irreden/profile/ir_profile.tpp:89-95  (STRUCTURAL, weighted=0.620451, line=0.75)
  engine/profile/include/irreden/profile/ir_profile.tpp:122-128  <->  engine/profile/include/irreden/profile/ir_profile.tpp:152-158  (STRUCTURAL, weighted=0.620451, line=0.75)
  engine/prefabs/irreden/common/modifier.hpp:101-110  <->  engine/prefabs/irreden/common/modifier.hpp:308-321  (STRUCTURAL, weighted=0.61512, line=0.583333)
  engine/prefabs/irreden/common/modifier.hpp:83-90  <->  engine/prefabs/irreden/common/modifier.hpp:287-298  (STRUCTURAL, weighted=0.61512, line=0.5)
  engine/profile/include/irreden/profile/ir_profile.tpp:132-138  <->  engine/profile/include/irreden/profile/ir_profile.tpp:152-158  (STRUCTURAL, weighted=0.61487, line=0.75)
  engine/profile/include/irreden/profile/ir_profile.tpp:69-75  <->  engine/profile/include/irreden/profile/ir_profile.tpp:89-95  (STRUCTURAL, weighted=0.61487, line=0.75)
