scanned 719 files, 3673 fragments, 66759 candidate pairs
  source/Irrlicht/CD3D8Driver.cpp:1271-1302  <->  source/Irrlicht/CD3D9Driver.cpp:2112-2147  (STRUCTURAL, weighted=0.934603, line=0.758621)
  source/Irrlicht/CColladaFileLoader.cpp:2594-2620  <->  source/Irrlicht/CIrrMeshFileLoader.cpp:508-533  (STRUCTURAL, weighted=0.915545, line=0.95)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:117-160  <->  source/Irrlicht/COpenGLNormalMapRenderer.cpp:158-202  (STRUCTURAL, weighted=0.915185, line=0.594595)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:117-160  <->  source/Irrlicht/COpenGLParallaxMapRenderer.cpp:192-236  (STRUCTURAL, weighted=0.915185, line=0.552632)
  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:152-195  <->  source/Irrlicht/COpenGLNormalMapRenderer.cpp:158-202  (STRUCTURAL, weighted=0.915185, line=0.512821)
  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:152-195  <->  source/Irrlicht/COpenGLParallaxMapRenderer.cpp:192-236  (STRUCTURAL, weighted=0.915185, line=0.552632)
  examples/08.SpecialFX/main.cpp:307-342  <->  examples/10.Shaders/main.cpp:455-488  (STRUCTURAL, weighted=0.907676, line=0.75)
  source/Irrlicht/CD3D8Texture.cpp:591-646  <->  source/Irrlicht/CD3D9Texture.cpp:604-658  (STRUCTURAL, weighted=0.907228, line=0.58)
  source/Irrlicht/CD3D8Texture.cpp:342-425  <->  source/Irrlicht/CD3D9Texture.cpp:167-258  (STRUCTURAL, weighted=0.905538, line=0.728814)
  source/Irrlicht/CD3D8Driver.cpp:1311-1331  <->  source/Irrlicht/CD3D9Driver.cpp:2156-2181  (STRUCTURAL, weighted=0.903526, line=0.727273)
  source/Irrlicht/CIrrDeviceConsole.h:104-108  <->  source/Irrlicht/MacOSX/CIrrDeviceMacOSX.h:125-130  (STRUCTURAL, weighted=0.902162, line=0.8)
  source/Irrlicht/CD3D8Driver.cpp:1338-1350  <->  source/Irrlicht/CD3D9Driver.cpp:2188-2204  (STRUCTURAL, weighted=0.887677, line=0.583333)
  source/Irrlicht/irrXML.cpp:99-109  <->  source/Irrlicht/irrXML.cpp:163-173  (STRUCTURAL, weighted=0.880469, line=0.777778)
  source/Irrlicht/irrXML.cpp:99-109  <->  source/Irrlicht/irrXML.cpp:131-141  (STRUCTURAL, weighted=0.880469, line=0.777778)
  source/Irrlicht/CAnimatedMeshSceneNode.cpp:146-183  <->  source/Irrlicht/COctreeSceneNode.cpp:47-84  (STRUCTURAL, weighted=0.877899, line=0.8)
  source/Irrlicht/CTRGouraud.cpp:187-210  <->  source/Irrlicht/CTRTextureFlatWire.cpp:178-199  (STRUCTURAL, weighted=0.876381, line=0.583333)
